start,end,label
5 PM,6 PM,Vote
5 PM,6 PM,Liar
5 PM,6 PM,Hate
5 PM,6 PM,Hope
5 PM,6 PM,Anxious
5 PM,6 PM,Sure
6 PM,7 PM,Republican
6 PM,7 PM,House
6 PM,7 PM,Florida
7 PM,8 PM,Hope
7 PM,8 PM,Attack
7 PM,8 PM,Women
8 PM,9 PM,Immigrant
8 PM,9 PM,Islam
8 PM,9 PM,Florida
8 PM,9 PM,Surprise
9 PM,10 PM,Canada
9 PM,10 PM,Anxiety
9 PM,10 PM,Indiana
9 PM,10 PM,President
10 PM,11 PM,Obama
10 PM,11 PM,Tower
10 PM,11 PM,Wall
11 PM,12 PM,Mexican
11 PM,12 PM,American
11 PM,12 PM,Love
11 PM,12 PM,Lose
12 PM,1 AM,Shock
12 PM,1 AM,Trumpland
12 PM,1 AM,Media
12 PM,1 AM,Edge
1 AM,2 AM,Concession
2 AM,3 AM,Hate
2 AM,3 AM,Stock
2 AM,3 AM,Crash